Condenser,Evaporator,RPM,Capacity
35,-35,3000,98.68
35,-20,3000,223.64
35,-5,3000,444.69
45,-35,3000,89.98
45,-20,3000,218.58
45,-5,3000,432.88
55,-35,3000,81.68
55,-20,3000,205.51
55,-5,3000,415.55
